2020,56,56,0
2020,35,35,0
2015,24,61,0
2016,10,23,0
2020,6,6,0
2017,81,128,0
2020,9,9,0
2020,47,47,0
2014,20,61,2
2014,5,15,0
2014,28,44,0
2017,63,158,2
2020,103,103,2
2014,29,123,0
2019,6,6,0
2017,17,29,0
2014,8,15,0
2019,4,4,0
2017,2,2,0
2020,15,15,0
2015,51,161,0
2020,130,130,2
2016,35,178,0
2020,21,21,2
2015,6,23,0
2019,49,64,0
2019,2,2,2
2012,6,32,0
2019,13,13,2
2020,1,1,0
2019,80,97,0
2019,4,4,0
2012,3,3,1
2018,14,53,0
2013,14,32,0
2012,3,5,0
2015,35,147,2
2020,145,144,1
2019,94,113,0
2018,105,144,0
2018,13,15,0
2019,7,7,2
2013,2,2,0
2020,8,8,1
2013,6,11,0
2015,28,51,0
2013,6,6,0
2018,3,3,0
2019,17,23,0
2018,37,49,0
2020,1,1,0
2018,5,7,2
2018,51,76,2
2015,5,5,2
2019,44,58,2
2013,3,3,1
2015,3,3,0
2019,29,71,2
2020,19,19,0
2019,9,12,0
2018,16,32,0
2012,19,25,1
2013,1,1,0
2018,58,263,0
2020,58,111,0
2019,2,2,0
2020,41,41,0
2019,27,36,1
2019,16,44,0
2014,10,25,0
2020,121,744,0
2019,7,7,2
2019,11,15,0
2019,3,3,2
2019,0,0,0
2013,4,19,0
2019,4,4,0
2014,20,69,0
2019,6,6,0
2019,4,4,0
2013,39,219,0
2018,6,6,0
2018,12,15,2
2019,99,160,0
2020,7,7,0
2019,3,3,1
2013,32,321,0
2019,11,13,2
2019,2,2,0
2019,8,8,0
2012,2,2,0
2018,118,170,0
2019,4,4,1
2013,17,25,2
2019,83,271,0
2013,9,25,2
2019,8,11,0
2019,17,18,0
2013,4,8,0
2018,14,23,0
2019,0,0,0
2019,9,9,0
2020,9,9,0
2019,1,1,0
2012,5,15,0
2019,19,19,0
2018,10,13,0
2020,74,75,2
2012,23,79,2
2019,5,5,0
2017,6,8,2
2020,13,13,0
2019,78,94,2
2019,4,5,0
2015,22,73,0
2020,15,15,0
2013,17,34,0
2016,30,136,2
2019,5,5,2
2020,3,3,0
2018,8,14,0
2017,7,68,0
2015,42,93,2
2013,9,64,0
2019,34,40,0
2014,2,2,0
2016,28,69,0
2020,18,18,1
2017,18,27,0
2014,40,166,0
2020,91,179,2
2017,88,241,2
2014,18,54,0
2020,23,23,2
2020,81,164,2
2015,1,1,0
2014,0,0,0
2020,23,23,0
2020,3,3,0
2014,16,72,1
2015,5,9,0
2015,21,38,0
2020,23,23,0
2015,19,59,0
2020,28,28,0
2016,34,56,0
2018,27,77,2
2015,5,7,2
2015,21,52,0
2019,10,35,0
2016,6,10,0
2020,19,20,0
2020,1,1,1
2020,15,15,0
2015,36,117,0
2020,43,43,2
2020,1,1,0
2015,161,705,0
2020,18,18,0
2020,28,28,0
2014,7,10,0
2016,3,8,0
2020,41,41,2
2014,29,57,0
2016,8,8,2
2020,3,3,0
2017,74,254,2
2020,20,20,0
2014,10,20,0
2017,11,23,2
2017,23,28,0
2020,34,49,1
2014,5,8,0
2017,46,81,0
2014,9,28,0
2020,142,142,0
2017,4,4,0
2016,41,73,0
2020,54,54,0
2018,12,15,0
2018,3,3,0
2020,8,8,2
2017,4,8,0
2016,4,6,0
2019,1,1,0
2018,12,28,0
2017,49,129,2
2018,4,4,2
2012,13,27,2
2019,4,5,1
2019,54,78,2
2012,33,67,0
2017,18,79,0
2020,21,21,0
2019,5,5,0
2019,11,11,0
2018,27,36,0
2012,5,22,0
2013,12,47,2
2019,5,6,0
2019,4,4,0
2019,7,7,2
2018,206,862,1
2019,47,53,0
2019,5,5,0
2013,18,33,2
2020,1,1,0
2019,16,16,0
2018,11,15,0
2019,8,8,0
2020,0,0,0
2013,22,50,2
2020,7,7,0
2019,7,7,0
2018,140,245,0
2019,7,10,0
2013,5,16,0
2017,17,36,0
2018,11,15,0
2019,7,9,0
2019,36,60,0
2019,11,11,2
2017,22,33,0
2019,36,47,2
2018,29,47,0
2019,11,166,2
2014,42,169,2
2020,53,84,0
2017,50,76,2
2014,0,0,0
2015,65,137,2
2016,78,152,0
2020,26,26,0
2016,80,703,0
2016,20,71,0
2015,14,37,0
2016,10,36,0
2020,32,32,2
2016,15,17,0
2015,5,5,0
2020,79,80,0
2016,27,86,0
2015,5,9,2
2020,7,7,1
2016,36,141,2
2015,13,26,0
2020,212,212,0
2019,10,14,1
2020,42,42,0
2020,1,1,2
2020,32,32,0
2020,111,112,1
2020,26,26,0
2017,56,97,0
2020,5,5,0
2018,13,14,0
2013,27,146,2
2020,78,78,0
2018,11,33,2
2013,2,2,0
2020,79,80,0
2019,1,1,2
2018,73,134,0
2019,5,8,2
2019,8,8,0
2019,16,40,0
2012,7,10,0
2019,9,15,0
2018,9,9,1
2019,8,32,0
2019,6,8,2
2019,11,13,0
2018,0,0,0
2019,10,10,0
2018,3,3,0
2019,86,118,2
2018,43,67,0
2019,67,97,2
2016,23,45,0
2019,9,11,0
2018,4,5,0
2013,33,59,0
2019,9,9,0
2018,165,257,2
2019,13,14,0
2013,16,275,0
2018,9,10,1
2019,5,5,0
2013,7,13,0
2019,5,5,1
2018,13,19,0
2018,11,11,0
2015,28,47,0
2013,4,6,2
2018,1,1,1
2019,52,71,0
2018,51,135,0
2013,22,33,0
2018,63,124,0
2020,16,16,0
2015,7,20,0
2012,2,2,2
2013,21,71,1
2012,3,4,0
2019,13,13,2
2019,2,2,2
2019,10,10,0
2019,5,5,0
2019,16,17,0
2019,63,82,2
2019,5,5,2
2020,79,79,2
2019,6,6,0
2019,39,52,2
2020,14,14,2
2018,22,31,0
2020,32,32,2
2015,21,50,1
2018,45,118,0
2019,1,1,0
2013,8,37,0
2018,42,84,0
2018,8,9,2
2019,6,6,1
2019,11,11,1
2020,6,6,0
2015,14,23,0
2014,13,57,2
2012,26,98,0
2020,11,11,0
2014,24,208,0
2017,12,37,2
2020,26,26,0
2014,11,27,0
2020,23,93,0
2020,14,14,2
2014,15,39,1
2020,50,126,0
2020,5,5,0
2016,6,37,0
2020,65,100,0
2015,8,28,0
2020,79,116,0
2020,27,27,0
2016,3,3,2
2015,11,18,1
2020,11,14,0
2015,21,59,2
2016,43,399,2
2020,16,23,0
2015,48,134,2
2020,56,80,0
2016,8,13,0
2017,92,147,0
2019,65,75,0
2014,7,14,1
2017,25,47,0
2019,1,1,2
2014,31,119,0
2015,63,288,0
2020,35,60,0
2019,44,62,0
2018,80,133,2
2020,22,22,0
2016,211,904,0
2019,20,20,2
2020,81,81,2
2015,5,11,0
2016,24,45,0
2020,2,2,0
2018,8,18,0
2017,54,147,2
2014,33,118,0
2014,16,23,0
2017,11,16,0
2014,14,54,2
2017,39,122,0
2014,55,123,2
2014,0,0,0
2017,25,32,2
2020,12,12,0
2014,35,82,0
2017,42,62,0
2017,15,46,0
2020,57,57,0
2016,8,12,0
2015,13,68,2
2020,13,13,0
2019,5,5,0
2016,0,0,0
2015,51,252,2
2020,25,39,2
2019,4,5,0
2019,27,31,0
2020,39,39,0
2020,45,44,2
2017,39,66,0
2020,37,37,2
2018,13,16,0
2019,20,25,0
2019,22,26,2
2013,1,1,2
2018,45,53,0
2018,150,290,0
2018,19,32,0
2013,8,14,0
2019,5,5,1
2019,14,17,0
2019,14,14,0
2018,106,184,2
2019,79,104,2
2020,27,27,1
2019,50,63,0
2018,4,4,1
2013,21,43,2
2019,20,26,0
2019,26,26,0
2018,0,0,0
2012,7,18,0
2019,15,15,1
2019,43,104,2
2020,4,4,0
2019,1,1,2
2018,15,22,0
2019,7,7,0
2013,2,2,0
2012,11,27,0
2019,0,0,0
2014,12,48,0
2013,3,5,0
2018,34,45,0
2012,8,31,0
2018,6,11,1
2020,4,4,1
2019,27,32,2
2019,65,75,2
2014,41,299,0
2020,3,3,0
2019,0,0,0
2019,54,81,0
2013,14,32,0
2018,28,112,0
2019,26,34,0
2019,11,11,1
2013,14,63,0
2013,5,16,0
2018,7,7,0
2019,1,1,0
2018,14,30,2
2018,5,5,2
2013,5,5,0
2018,25,27,2
2013,10,20,0
2020,8,8,0
2019,0,0,0
2018,23,64,0
2012,3,3,0
2014,13,87,0
2020,1,1,0
2012,16,51,0
2014,15,64,0
2020,134,246,2
2016,9,24,0
2013,6,32,0
2015,5,5,0
2016,25,99,0
2020,5,5,2
2020,30,30,2
2013,15,39,0
2016,30,77,2
2015,11,19,2
2020,10,10,0
2016,5,5,0
2020,138,138,0
2020,10,10,0
2017,7,10,0
2020,9,9,2
2020,11,11,0
2014,16,58,0
2020,12,21,1
2017,36,201,0
2020,8,8,0
2017,20,31,0
2014,12,24,0
2017,6,6,0
2014,11,35,2
2013,14,64,2
2015,6,9,0
2019,8,57,2
2016,6,13,0
2020,33,33,2
2015,11,17,2
2013,14,21,0
2015,30,61,2
2020,5,5,0
2020,20,20,2
2016,11,42,0
2019,11,12,0
2018,51,62,0
2013,8,16,0
2020,4,4,0
2019,65,106,0
2018,49,75,2
2019,1,1,0
2016,1,1,0
2013,19,39,0
2013,6,9,0
2018,26,29,0
2020,50,50,0
2013,27,63,0
2019,4,4,0
2016,14,23,1
2019,9,9,2
2012,25,55,0
2019,17,24,0
2019,10,15,2
2012,6,10,0
2019,35,35,2
2019,2,2,0
2019,5,5,0
2012,15,76,0
2019,1,1,0
2020,49,49,1
2019,7,7,0
2019,30,30,0
2019,91,116,0
2019,21,25,0
2020,82,82,0
2012,0,0,2
2019,20,20,2
2020,57,57,2
2013,3,3,0
2018,11,18,0
2015,25,74,0
2020,30,30,0
2013,6,28,0
2019,38,62,0
2015,3,3,2
2019,23,30,2
2017,22,65,0
2020,128,129,0
2014,12,57,0
2014,7,11,2
2020,18,18,2
2014,83,436,0
2017,51,245,2
2020,77,147,0
2020,59,59,1
2014,4,6,0
2015,8,9,0
2020,257,423,1
2015,15,46,0
2020,30,30,2
2017,35,55,0
2020,88,147,2
2015,7,9,0
2016,13,23,0
2020,28,29,0
2020,22,22,2
2015,34,588,0
2020,3,3,0
2015,26,61,2
2020,26,26,0
2015,2,2,0
2020,2,2,0
2014,7,14,2
2016,1,1,1
2019,10,11,1
2020,40,40,2
2017,5,5,0
2016,13,21,0
2015,8,9,0
2017,60,152,1
2016,2,2,0
2020,36,36,0
2017,6,10,0
2020,116,223,2
2016,15,30,0
2016,36,128,0
2015,15,23,2
2015,33,61,2
2016,23,52,2
2017,5,11,0
2015,6,20,0
2017,13,17,0
2015,15,15,2
2020,1,1,1
2020,5,5,0
2019,79,104,0
2014,8,17,2
2020,3,3,0
2020,1,1,0
2017,16,34,2
2020,2,2,2
2016,6,8,0
2018,31,41,0
2016,10,18,1
2019,7,7,2
2012,59,250,0
2019,20,25,0
2019,6,6,0
2019,46,56,0
2012,20,58,2
2019,9,9,0
2020,7,7,2
2019,17,17,0
2019,27,27,0
2020,25,25,2
2019,12,18,0
2019,45,80,0
2019,135,432,0
2018,4,6,0
2020,65,91,1
2019,6,6,0
2013,31,74,0
2016,8,15,0
2018,75,210,2
2019,24,32,0
2018,7,8,0
2020,5,5,2
2020,3,3,0
2020,1,1,1
2016,102,228,0
2012,9,33,2
2018,2,2,2
2019,34,34,2
2019,4,5,0
2019,54,79,0
2012,27,73,1
2019,4,4,1
2019,219,344,0
2020,8,8,0
2013,9,13,0
2019,39,42,0
2020,12,12,2
2018,8,13,0
2013,9,26,0
2015,3,5,0
2013,20,36,0
2020,100,101,0
2013,4,13,0
2015,22,54,0
2018,1,1,0
2018,4,4,0
2013,5,10,2
2018,46,103,0
2019,17,19,0
2016,4,14,0
2015,92,304,0
2018,22,33,0
2020,24,24,0
2012,4,6,0
2020,4,4,2
2018,7,153,2
2019,15,21,0
2013,1,1,0
2019,3,3,2
2019,6,7,0
2019,4,4,0
2013,11,19,0
2018,3,3,0
2019,0,0,0
2015,11,34,0
2020,8,8,2
2016,50,305,0
2015,18,33,1
2020,12,12,0
2015,32,60,2
2016,2,2,0
2014,4,28,0
2014,16,58,0
2020,23,36,2
2014,9,15,0
2015,4,8,0
2014,5,7,0
2020,10,15,0
2017,108,389,1
2020,4,4,0
2014,14,33,2
2012,15,40,0
2020,9,11,2
2017,71,144,0
2019,22,29,0
2014,15,58,0
2020,12,12,0
2020,176,175,0
2019,18,29,0
2016,7,23,0
2015,4,5,0
2017,4,4,0
2020,20,20,2
2019,31,31,0
2015,10,25,0
2017,71,147,0
2020,17,17,2
2016,5,7,0
2020,1,1,0
2017,51,91,1
2020,62,62,0
2014,64,305,0
2020,54,54,2
2020,7,7,0
2017,20,33,0
2014,28,119,0
2020,16,16,2
2017,5,14,0
2016,3,3,0
2020,4,4,0
2015,40,123,0
2020,2,2,0
2020,17,17,2
2020,599,1012,0
2016,23,103,2
2015,51,120,0
2019,10,12,0
2019,5,6,0
2020,10,10,2
2019,40,66,2
2013,8,9,0
2019,5,5,2
2019,15,15,0
2018,2,2,2
2020,5,5,2
2019,20,21,2
2013,62,140,0
2012,9,20,0
2020,18,18,0
2019,54,72,0
2018,29,43,0
2018,1,1,0
2020,16,25,0
2019,25,30,2
2012,3,3,0
2013,7,11,0
2018,3,3,0
2020,23,23,0
2019,19,22,0
2018,9,11,0
2016,10,10,0
2018,19,38,0
2019,1,1,2
2018,95,287,0
2019,216,311,1
2020,2,2,0
2019,7,7,1
2019,25,28,2
2019,2,2,0
2012,7,19,0
2019,12,28,0
2019,156,189,1
2014,4,5,2
2017,15,44,0
2020,58,58,0
2020,0,0,1
2014,24,507,0
2017,30,41,0
2017,6,11,0
2019,34,38,0
2016,24,126,0
2015,0,0,0
2018,3,3,2
2017,7,7,0
2016,49,127,0
2015,6,8,2
2020,78,78,0
2016,50,172,0
2020,11,11,0
2018,52,119,0
2020,4,4,0
2016,12,20,0
2020,4,4,0
2016,189,348,0
2020,7,7,0
2020,60,95,0
2014,34,61,0
2020,98,165,0
2014,19,42,2
2020,9,9,0
2019,37,87,0
2020,17,17,0
2013,17,31,0
2020,4,4,0
2019,0,0,0
2018,72,154,0
2019,66,114,0
2020,0,0,2
2013,59,341,0
2019,21,33,0
2019,60,83,2
2013,37,130,0
2017,37,52,2
2019,5,5,0
2020,3,3,0
2017,20,66,2
2012,13,19,0
2019,61,94,2
2018,3,3,0
2019,30,141,2
2019,9,10,0
2019,3,3,0
2017,3,3,0
2020,15,15,0
2020,25,25,2
2018,19,24,0
2018,7,11,0
2017,2,2,0
2020,18,18,2
2019,72,79,0
2019,1,1,0
2013,8,17,0
2018,72,174,0
2018,10,35,0
2019,2,2,0
2018,197,349,0
2013,0,0,2
2013,0,0,0
2018,2,2,0
2019,0,0,0
2019,2,2,0
2019,62,85,1
2018,4,11,0
2019,4,5,1
2018,8,8,0
2013,0,0,0
2018,106,486,1
2019,14,14,2
2020,9,9,2
2018,2,2,2
2012,9,22,2
2019,12,12,0
2014,6,17,0
2014,60,431,2
2018,6,6,2
2019,18,27,0
2018,14,19,0
2012,4,7,2
2020,127,127,1
2020,4,4,0
2019,0,0,0
2020,6,6,0
2019,1,1,1
2018,16,26,0
2012,10,23,0
2020,21,21,0
2019,94,151,0
2013,6,10,0
2019,9,10,0
2018,4,6,0
2013,19,36,2
2018,22,41,0
2019,14,21,0
2013,2,2,0
2018,27,47,0
2013,20,145,0
2017,1,1,0
2017,5,5,1
2014,11,21,0
2017,10,10,2
2020,36,36,2
2014,0,0,0
2018,112,168,0
2020,10,10,0
2013,15,22,0
2015,16,28,0
2019,5,5,0
2020,152,152,2
2016,11,22,0
2013,6,7,1
2015,1,1,0
2018,33,69,0
2016,449,5367,0
2020,8,8,0
2019,7,7,1
2016,52,85,0
2015,14,32,0
2020,57,92,0
2020,20,20,2
2015,30,289,0
2016,9,27,1
2015,88,134,0
2020,27,27,0
2015,69,317,0
2016,14,41,0
2020,18,18,0
2014,21,77,0
2014,3,7,0
2020,13,17,0
2017,21,32,2
2020,22,29,0
2017,18,41,2
2020,14,14,2
2020,59,59,2
2014,35,77,2
2016,14,17,0
2015,5,5,0
2016,10,22,0
2015,5,5,0
2020,20,20,0
2016,13,21,2
2017,8,25,0
2017,25,38,0
2020,64,64,0
2020,3,3,0
2017,10,16,2
2020,2,2,0
2017,58,233,2
2020,31,31,0
2020,7,7,0
2017,1,1,0
2016,2,3,0
2014,4,81,0
2016,5,5,0
2014,11,18,0
2015,4,5,0
2020,26,26,0
2016,37,1305,2
2020,43,43,2
2020,5,6,0
2015,19,62,0
2020,7,7,2
2016,51,185,0
2012,6,7,0
2019,5,5,0
2019,10,10,0
2019,2,2,0
2012,14,25,0
2019,8,8,2
2019,151,500,2
2018,3,3,0
2016,32,103,0
2019,13,15,0
2020,46,46,0
2019,5,5,0
2013,19,49,0
2020,12,12,1
2016,44,260,0
2020,74,145,0
2013,44,82,0
2018,6,7,0
2020,24,24,1
2020,18,18,2
2018,12,27,0
2018,23,29,0
2013,8,15,0
2016,22,58,0
2018,12,12,0
2019,5,6,0
2019,8,9,1
2019,2,2,0
2019,45,64,2
2012,21,339,0
2019,9,9,0
2019,7,7,0
2019,6,6,0
2012,9,19,0
2019,53,66,2
2019,10,12,0
2018,23,52,2
2013,18,76,0
2018,2,2,1
2013,72,197,2
2018,13,16,0
2019,4,4,1
2013,5,25,2
2018,38,94,0
2013,30,119,2
2018,26,31,2
2019,14,15,0
2015,11,17,0
2013,8,11,0
2019,4,4,0
2018,5,5,1
2020,12,12,2
2018,24,47,0
2019,4,4,0
2015,4,4,2
2020,13,13,0
2012,0,0,0
2013,4,4,0
2012,62,441,0
2019,28,77,0
2019,32,37,2
2019,6,7,0
2012,17,17,2
2020,8,8,2
2019,12,14,0
2015,5,16,0
2020,175,245,2
2016,60,134,2
2015,22,146,2
2015,66,2665,2
2015,10,10,2
2020,5,5,0
2016,47,184,0
2020,16,16,0
2014,2,2,0
2017,25,36,0
2019,23,32,2
2017,20,33,0
2014,22,55,2
2019,2,2,0
2014,4,10,0
2014,17,246,0
2012,7,10,0
2020,16,16,0
2020,11,11,0
2020,24,24,0
2017,2,2,0
2014,16,46,0
2012,29,132,0
2017,79,388,2
2020,21,21,1
2020,13,12,0
2016,2,2,0
2015,14,50,0
2020,27,27,0
2019,18,21,0
2020,4,4,0
2016,9,16,0
2015,4,4,0
2019,18,18,0
2020,51,51,2
2019,45,63,0
2013,10,37,0
2019,15,50,2
2018,9,14,0
2019,22,32,2
2013,18,43,0
2012,7,20,0
2019,5,5,0
2019,74,89,2
2020,19,19,0
2020,4,4,0
2012,23,60,0
2018,11,15,0
2020,21,34,0
2017,57,77,0
2019,1,1,0
2014,50,96,0
2013,25,101,0
2012,25,92,0
2019,4,4,0
2014,9,19,0
2019,1,1,0
2019,9,9,0
2019,27,32,0
2013,10,17,0
2019,7,7,0
2019,1,1,0
2014,15,36,0
2018,49,72,2
2019,1,1,2
2019,32,38,2
2018,43,69,2
2013,5,7,2
2020,3,3,0
2019,24,41,0
2018,93,263,2
2013,31,342,0
2019,7,7,0
2013,5,6,0
2018,16,18,0
2019,15,19,0
2013,4,5,0
2019,113,161,0
2018,15,19,0
2018,8,11,0
2020,19,28,0
2015,6,6,0
2020,18,18,0
2015,6,10,0
2013,30,95,0
2018,6,11,0
2015,17,34,0
2016,28,54,0
2020,9,20,0
2018,18,52,0
2013,3,9,0
2015,4,11,0
2020,28,28,0
2013,5,15,0
2018,1,1,1
2020,9,9,0
2015,8,12,1
2020,6,6,0
2019,14,20,0
2015,5,7,2
2020,58,59,0
2013,7,47,0
2019,10,13,0
2015,23,87,0
2014,1,1,2
2020,51,52,0
2017,21,29,0
2020,34,64,0
2020,36,36,2
2014,11,20,0
2017,146,399,2
2020,94,95,0
2014,29,62,0
2020,6,6,0
2020,10,10,0
2017,34,52,0
2020,3,3,2
2014,10,26,2
2020,11,11,2
2017,32,73,0
2017,2,2,0
2020,32,32,0
2018,21,51,0
2019,10,14,2
2017,10,22,2
2018,16,20,0
2019,19,40,0
2016,4,12,0
2020,42,42,0
2016,2,2,0
2020,22,22,0
2015,28,69,0
2020,73,446,1
2016,107,283,0
2019,69,93,1
2020,14,14,0
2015,78,550,0
2016,7,8,0
2020,132,133,0
2016,14,17,0
2014,4,14,0
2014,15,69,0
2017,10,14,2
2020,44,44,0
2016,15,68,0
2014,4,4,0
2014,3,3,0
2019,16,16,0
2013,68,275,0
2018,7,11,2
2020,20,20,1
2018,42,60,0
2019,59,85,2
2013,11,22,0
2019,10,11,0
2018,46,182,0
2019,17,20,0
2020,11,11,0
2013,3,3,0
2017,62,111,0
2019,6,6,0
2019,12,16,2
2019,10,11,0
2013,45,91,0
2019,10,10,0
2017,12,25,0
2018,9,22,0
2019,4,4,0
2018,11,16,2
2012,23,182,0
2019,61,101,1
2019,62,80,0
2019,6,9,0
2020,28,27,0
2012,20,42,0
2018,35,48,0
2019,2,2,0
2013,9,11,0
2019,4,4,2
2012,4,4,0
2019,39,39,2
2013,1,1,0
2020,3,3,0
2019,117,154,2
2019,5,5,0
2018,139,219,0
2019,3,3,0
2020,2,2,0
2013,26,112,2
2019,7,9,0
2019,16,16,0
2018,1,1,0
2019,44,57,0
2019,7,7,0
2019,18,23,0
2019,22,33,0
2019,26,26,0
2018,10,11,0
2012,6,9,2
2019,9,10,0
2019,28,43,2
2019,5,5,1
2019,5,7,0
2018,14,20,1
2013,2,3,1
2016,6,8,0
2018,5,10,2
2019,5,5,0
2020,3,3,0
2020,29,29,0
2018,19,28,0
2013,8,15,0
2020,0,0,2
2019,29,37,1
2020,12,24,0
2020,15,15,2
2017,57,103,0
2020,6,6,0
2017,52,166,0
2020,8,8,0
2017,111,218,0
2015,4,4,0
2016,129,524,0
2020,16,16,0
2016,16,34,0
2015,3,8,0
2020,5,5,0
2015,6,21,0
2020,33,64,0
2016,7,15,1
2015,11,21,0
2020,16,16,0
2014,5,9,0
2016,4,11,0
2017,18,107,2
2014,26,79,0
2016,9,18,0
2017,8,10,0
2014,12,19,1
2019,1,1,0
2017,11,21,2
2014,7,20,0
2014,5,20,0
2017,4,6,0
2015,27,77,0
2020,1,1,1
2020,38,38,0
2015,11,13,2
2020,34,34,0
2015,25,73,2
2015,2,2,0
2020,25,25,0
2019,63,173,2
2015,7,15,2
2016,5,5,1
2020,3,3,0
2019,6,6,0
2020,0,0,0
2015,4,5,0
2016,20,44,0
2020,46,46,1
2017,57,152,0
2020,10,10,1
2020,22,22,0
2019,16,23,2
2012,20,33,2
2014,24,55,0
2020,15,15,2
2020,25,25,2
2017,34,109,0
2012,8,12,0
2014,5,5,2
2019,10,10,2
2018,6,6,1
2013,5,6,0
2018,33,68,0
2013,3,3,0
2018,8,8,0
2019,1,1,0
2018,5,6,1
2013,3,3,0
2012,19,93,0
2019,9,9,2
2019,26,26,0
2019,15,15,0
2019,45,62,0
2019,6,6,2
2012,27,72,0
2019,23,23,2
2019,6,6,0
2012,3,3,0
2019,39,55,2
2019,7,7,2
2019,0,0,0
2019,3,3,2
2012,10,21,0
2020,7,7,0
2012,10,35,0
2015,12,17,0
2018,34,115,0
2019,14,23,0
2020,3,3,0
2018,16,17,2
2012,12,30,0
2013,39,112,0
2019,4,4,0
2019,12,21,0
2018,22,30,0
2019,18,24,0
2015,5,11,0
2016,111,402,0
2013,68,170,0
2015,9,27,0
2013,22,88,0
2016,5,14,0
2020,32,32,1
2018,26,52,2
2015,5,8,0
2020,27,27,1
2020,2,2,0
2017,34,94,0
2020,26,40,2
2020,28,28,1
2017,60,113,0
2020,214,214,0
2020,8,8,0
2014,4,10,0
2015,10,26,2
2013,4,6,0
2020,20,50,0
2015,5,15,0
2019,16,16,1
2013,12,14,0
2020,38,38,0
2015,1,1,2
2020,4,4,0
2018,1,1,0
2019,75,119,0
2020,5,5,0
2017,88,139,0
2019,12,12,0
2020,1,1,0
2019,8,12,0
2012,9,37,2
2014,15,56,2
2019,3,3,2
2020,234,235,0
2019,20,22,0
2019,1,1,0
2013,9,16,0
2019,43,88,2
2018,346,1614,0
2019,1,1,0
2019,24,30,2
2013,14,105,0
2019,1,1,0
2020,1,1,0
2018,3,3,2
2019,10,13,0
2018,10,15,0
2013,28,44,0
2018,104,240,0
2019,62,79,1
2018,5,5,0
2020,6,6,0
2013,23,99,1
2018,87,136,0
2013,11,45,0
2019,1,1,0
2019,22,27,2
2019,48,62,0
2018,2,2,0
2020,35,35,0
2014,24,106,0
2019,137,357,0
2013,1,1,0
2018,9,9,2
2019,5,5,0
2019,94,135,2
2014,9,15,0
2019,1,1,0
2012,10,21,2
2013,3,3,0
2019,7,7,0
2019,15,17,0
2018,4,4,0
2019,33,46,0
2013,8,8,0
2019,3,3,0
2019,0,0,1
2018,15,15,0
2019,97,124,0
2017,27,109,0
2013,1,1,2
2018,42,67,0
2019,109,151,0
2020,1,1,0
2019,4,4,2
2013,12,28,0
2018,45,440,0
2013,56,158,0
2019,22,23,0
2020,0,0,0
2019,10,11,0
2013,11,18,0
2012,11,11,0
2019,22,29,2
2013,9,22,0
2019,31,46,0
2019,5,5,0
2019,14,19,0
2019,18,19,0
2012,29,62,0
2019,1,1,2
2019,26,31,2
2020,10,10,0
2018,10,10,0
2019,2,2,0
2012,3,5,2
2020,330,330,0
2017,6,24,0
2018,10,13,1
2019,36,36,0
2020,8,8,0
2014,8,12,0
2020,26,26,0
2017,46,69,0
2020,5,5,0
2014,11,11,0
2020,24,24,2
2017,28,71,2
2014,1,1,0
2016,5,23,0
2014,6,7,0
2020,22,22,1
2014,4,4,0
2016,13,42,0
2014,0,0,0
2020,15,15,2
2017,21,53,2
2015,13,238,0
2020,12,12,0
2016,4,4,2
2019,111,133,0
2016,14,99,0
2020,46,72,2
2016,10,21,0
2015,19,71,0
2020,13,13,0
2016,31,52,0
2019,29,29,0
2014,4,4,0
2015,4,8,0
2014,9,38,0
2020,12,12,0
2016,5,5,0
2014,34,80,0
2020,23,23,2
2015,50,121,0
2020,7,7,0
2020,19,19,0
2015,8,10,0
2015,14,30,0
2015,12,29,0
2020,1,1,0
2019,3,4,2
2015,4,13,0
2019,21,25,0
2020,12,12,0
2020,13,13,0
2014,4,8,1
2020,17,28,2
2012,3,3,0
2017,38,338,2
2020,10,10,0
2014,35,98,0
2020,11,11,1
2017,36,50,2
2019,22,53,0
2012,23,32,2
2015,12,37,0
2013,6,12,0
2020,1,1,0
2018,18,25,0
2012,94,562,0
2013,4,6,0
2015,2,2,0
2013,11,22,0
2020,7,7,0
2019,7,8,0
2013,7,7,1
2019,72,108,0
2020,88,89,0
2019,70,184,0
2019,5,5,0
2012,14,29,0
2019,259,746,2
2019,12,15,2
2018,22,45,0
2019,0,0,0
2019,14,22,0
2013,38,92,0
2019,7,7,0
2019,17,17,2
2013,24,55,0
2012,4,12,0
2020,25,25,1
2015,9,15,2
2018,40,71,0
2019,7,7,0
2016,14,39,0
2019,7,7,0
2020,5,5,0
2013,14,35,0
2018,10,10,0
2016,8,11,0
2019,7,7,0
2018,27,67,0
2019,13,15,0
2015,5,10,0
2018,4,4,0
2013,9,29,2
2018,44,137,0
2018,4,4,0
2019,78,87,0
2013,23,75,2
2012,6,14,1
2019,7,7,0
2020,68,68,0
2018,8,8,0
2019,37,37,2
2013,3,9,0
2019,13,13,0
2019,506,1427,0
2018,10,13,2
2018,16,19,0
2013,5,6,0
2019,13,13,0
2019,6,6,0
2019,17,21,2
2020,5,5,1
2019,5,5,2
2019,2,3,0
2019,8,8,0
2012,6,7,0
2019,50,72,0
2019,5,5,0
2020,1,1,2
2019,5,7,0
2012,24,65,0
2019,14,18,1
2016,9,13,0
2018,16,21,0
2019,3,3,0
2018,38,45,0
2016,9,18,0
2014,45,168,0
2017,79,579,0
2020,37,37,2
2020,1,1,0
2014,10,47,0
2017,17,27,0
2017,10,10,2
2020,14,14,0
2015,9,14,0
2020,3,3,0
2016,4,5,0
